comparison,parent_name,child_name,no_new_information,mae_parent_clean,mae_child_clean,dMAE_observed,dMAE_boot_mean,ci_lo,ci_hi,p_le_zero,t_stat,t_p,fold_dmae_0,fold_dmae_1,fold_dmae_2,fold_dmae_3,fold_dmae_4,verdict,pre_audit_mae_parent,pre_audit_mae_child
00c->01c,baseline_full,mri_drop_structure,True,2.9817696831122187,2.9728308699654242,0.008938813146794455,0.008876615703729081,-0.045308185376265166,0.06305003403762341,0.3738,0.17431417241832053,0.8700854184330147,0.13480379922904628,-0.10134581767784967,-0.12295713237056871,0.06404864414852618,0.06996127410767317,overturned,,
00c->02c,baseline_full,mri_drop_resting,True,2.9817696831122187,2.984303886442078,-0.00253420332985943,-0.0024203889913035725,-0.026502321833284114,0.022411746939752633,0.5801,-0.21875846896550996,0.8375466015686373,-0.02567350613151964,-0.002822064384892631,-0.0023199762882675223,-0.020430396399294448,0.03885054024711332,overturned,,
00c->03c,baseline_full,mri_drop_motor_gforce,True,2.9817696831122187,2.9859246148432197,-0.00415493173100101,-0.004229339406496055,-0.017866943562205362,0.009420477126229853,0.7291,-0.6298323720668247,0.5629897640684791,0.018512024205651123,-0.017271343456391364,-0.01689023980365212,0.001061053782620558,-0.006298512726893968,overturned,,
00c->04c,baseline_full,mri_drop_memory_mst,True,2.9817696831122187,2.98678253225975,-0.005012849147531195,-0.004920078259599977,-0.017456526026461694,0.007276786595622019,0.7743,-1.7073954770447834,0.16293702931175927,-0.005954912104112253,0.0004758127533301959,-0.0117249010807714,-0.010843084494538857,0.0029293497890936493,overturned,,
00c->05c,baseline_full,mri_drop_language_speechcomp,True,2.9817696831122187,2.988185510856185,-0.006415827743966318,-0.006341907486385331,-0.014707842721359155,0.00203850773303894,0.9352,-1.4021437380639568,0.23350808334051915,-0.009002127752257394,0.00310812477405209,-0.02252812678576044,0.0014876314626515175,-0.0052262598598056265,overturned,,
00c->06c,baseline_full,mri_drop_language_wordname,True,2.9817696831122187,2.9833971768992993,-0.0016274937870806028,-0.001584762039522798,-0.007884113148508487,0.004856360513121981,0.6874,-0.3874991768882588,0.7181225609225148,-0.012078586497505928,0.004645960888802314,-0.0027827111229310475,0.010659116780672218,-0.008532100301681833,overturned,,
00c->07c,baseline_full,mri_drop_task_fmri_all,True,2.9817696831122187,3.0002489093918268,-0.018479226279608074,-0.018362904036732495,-0.039901254869073866,0.0031280760012065327,0.9555,-2.650332093744676,0.056962035501116844,-0.011118979493857317,-0.014174941059533985,-0.04402488458429943,-0.0027908573995456543,-0.020423698649102207,overturned,,
00c->08c,baseline_full,eeg_drop_resting,True,2.9817696831122187,3.007369372628557,-0.025599689516338398,-0.025371453493807674,-0.05866270081413298,0.0076932540619119045,0.9323,-2.315736927794316,0.08151713412552057,-0.04346920110035324,-0.02016851696363542,-0.026264279614889308,-0.050609690729799706,0.012659574227357417,overturned,,
00c->09c,baseline_full,eeg_drop_motor_gofitts,True,2.9817696831122187,3.0309186060821687,-0.04914892296994999,-0.049328990508197564,-0.09795941319494937,-0.0007583950398941837,0.9762,-2.8766504407816837,0.04516508737410452,-0.03808056533036863,-0.03946312434174226,-0.011932856266214209,-0.042520504737384,-0.1139917307183671,overturned,,
00c->10c,baseline_full,eeg_drop_memory_ospan,True,2.9817696831122187,2.96384290362229,0.017926779489928713,0.017863019966056555,-0.011860567158976154,0.04692692917799752,0.1174,1.120257018750216,0.32532042620089496,0.060049811635924044,-0.03747760348743556,0.009952869188649682,0.029771612213315812,0.027493459085444538,overturned,,
00c->11c,baseline_full,eeg_drop_memory_exclusion,True,2.9817696831122187,2.9644513680873343,0.017318315024884345,0.017351648682010095,-0.005751727634528447,0.04160962405526447,0.0742,2.2368246698326386,0.08893464256921511,-0.006868960572235849,0.012323191235326991,0.0388014403218202,0.014108019845699094,0.02857120663953605,overturned,,
00c->12c,baseline_full,eeg_drop_motor_bilpress,True,2.9817696831122187,2.98889355204245,-0.007123868930231314,-0.0071915406287706065,-0.037504340312466224,0.023995011074254297,0.6825,-0.7415131206746708,0.4995563152470737,-0.036700434565318574,-0.012378700606534565,0.007998201917356784,0.01827060220940746,-0.012399232461224763,overturned,,
00c->13c,baseline_full,eeg_drop_task_eeg_all,True,2.9817696831122187,3.0108961958940155,-0.029126512781796787,-0.029466201517704325,-0.09840270384335531,0.037510895501744516,0.7989,-0.7389015247178741,0.5009772963369048,-0.04868488516734226,-0.010315462130563002,0.05297860871493265,0.030912453583611832,-0.170514486889219,overturned,,
